yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,fundamental_refreshed_at,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cashflow_status,financial_currency,dart_year,dart_fs_div,dart_report_code,dart_source,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,218.99000549316406,206.16699829101563,208.6018330891927,198.88691635131835,193.77190017700195,13.014325241754094,235.74000549316406,-7.105285318441937,63.1033418183716,7.99,-0.21,daily_close,일봉 종가,2026-08-07 13:14 KST,,,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.46,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,2026-08-07,0.14,102.92,37.91,9.46,35.48,23,21,22,22,-20.06,158.81,,,,,,,2026-08-06,4.67,0,0,20,20,15,10,3,0,68,B,1
GOOGL,GOOGL,알파벳A,4490.91,357.75,348.90599822998047,363.01083323160805,342.727582804362,328.62314971923826,8.863298372511643,402.6199951171875,-11.144502424457965,54.37520535168197,-0.32,-7.95,daily_close,일봉 종가,2026-08-07 13:14 KST,,,294.0,23.78,81.11,16.393574,6.416221,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,86.96,4.59,54.0,-0.18,428.12,515.0,340.0,19.67,6.53,Finnhub,yfinance,2026-08-07,0.06,36.52,19.56,5.05,25.48,7,6,6,6,-16.19,27.05,,,,,,,2026-08-06,4.67,8,0,20,20,15,10,5,5,83,A,2
GOOG,GOOG,알파벳C,4483.96,356.6199951171875,347.99499969482423,360.8518325805664,340.97233225504556,327.81399909973146,8.787298924562503,399.0400085449219,-10.630516369127168,54.442374011116385,0.11,-7.8,daily_close,일봉 종가,2026-08-07 13:14 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,18.27,6.53,Finnhub,yfinance,2026-08-06,0.06,36.52,18.34,5.05,25.48,7,6,6,6,2.7,40.11,,,,,,,2026-08-06,4.67,4,0,20,20,15,10,5,5,79,A,3
AAPL,AAPL,애플,4376.98,312.4100036621094,323.5309997558594,308.33500010172526,286.0631665547689,279.15729949951174,11.911816105906913,340.0799865722656,-8.136316161691123,36.405348530272335,-1.2,6.74,daily_close,일봉 종가,2026-08-07 13:14 KST,,,28.7,30.46,65.95,35.704,42.44701,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.35,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.89,40.0,1.85,320.89,400.0,215.0,2.71,-1.08,Finnhub,yfinance,2026-08-07,1.24,10.32,37.91,9.46,35.48,23,21,22,22,-5.82,348.7,,,,,,,2026-08-06,4.67,0,0,20,10,8,8,5,0,51,C,4
MSFT,MSFT,마이크로소프트,2818.35,499.8599853515625,418.09100036621095,407.0553314208984,402.60491536458335,433.16104934692385,15.398184140794866,542.0700073242188,-7.786821148990432,82.37268257293647,30.05,21.13,daily_close,일봉 종가,2026-08-07 13:14 KST,,,23.4,33.6,76.44,23.700062,6.9982247,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.73,20.73,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.65,4.67,55.0,0.23,556.75,870.0,400.0,11.38,5.58,Finnhub,yfinance,2026-08-07,1.01,18.71,37.91,9.68,35.92,23,21,22,22,-37.48,-27.7,,,,,,,2026-08-06,4.67,4,0,20,10,12,8,1,0,55,B,5
AMZN,AMZN,아마존,2628.93,272.260009765625,250.13550033569337,250.4885004679362,239.2697499593099,236.2466000366211,15.243990695917484,284.0199890136719,-4.140546335800606,63.14187500964463,10.21,1.22,daily_close,일봉 종가,2026-08-07 13:14 KST,272.1887,-0.026191788388755296,242.3,41.19,67.81,22.83119,5.552037,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.65,61.0,0.0,321.95,400.0,207.0,18.25,5.24,Finnhub,yfinance,2026-08-04,0.09,57.24,24.64,15.76,38.64,8,7,4,4,-7.34,-64.77,,,,,,,2026-08-06,4.67,4,0,20,20,15,10,3,0,72,A,6
AVGO,AVGO,브로드컴,1957.03,420.57000732421875,390.468000793457,399.12433471679685,377.3895009358724,367.1968504333496,14.535298118129417,481.57000732421875,-12.666901815363998,73.61376361801717,4.85,-1.83,daily_close,일봉 종가,2026-08-07 13:15 KST,422.0,0.3400129944784351,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.62,41.26,2.6,,yfinance,,,,,,Technology,Semiconductors,92.86,,,-0.12,,,,,0.51,Finnhub,,2026-07-29,0.72,20.26,35.7,9.46,35.48,23,21,22,22,71.85,111.84,,,,,,,2026-08-06,4.67,0,0,20,16,12,10,1,5,64,B,7
TSLA,TSLA,테슬라,1504.13,319.5299987792969,347.29199981689453,389.7816650390625,389.07899958292643,409.3900001525879,-21.949730413492855,489.8800048828125,-34.7738230598463,27.800705068550513,-21.4,-28.2,daily_close,일봉 종가,2026-08-07 13:14 KST,,,-3.0,176.51,42.61,293.1468,14.527392,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.64,40.0,0.85,397.87,600.0,125.0,24.52,-7.04,Finnhub,yfinance,2026-08-07,,-49.94,22.83,11.27,45.9,8,7,4,4,1184.04,28.9,,,,,,,2026-08-06,4.67,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,589.9000244140625,616.1219970703125,602.2028299967448,615.5709142049153,631.9954983520507,-6.66072369941773,790.0,-25.329110833662977,32.73007010591171,-6.58,-1.5,daily_close,일봉 종가,2026-08-07 13:15 KST,589.1,-0.1356203392019059,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.36,7.64,2.1,,yfinance,,,,,,Communication Services,Internet Content & Information,87.5,,,-0.17,,,,,8.96,Finnhub,,2026-08-06,0.36,25.69,17.61,5.06,33.35,7,6,6,6,26.47,26.16,,,,,,,2026-08-06,4.67,4,0,20,20,15,10,3,5,77,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,524.6099853515625,501.19249725341797,492.47949981689453,487.5341667175293,490.8958497619629,6.867879532073394,539.7999877929688,-2.8140057030220094,88.43525478764715,5.89,9.4,daily_close,일봉 종가,2026-08-07 13:15 KST,523.7,-0.17345940355150433,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,-0.82,-3.3,Finnhub,yfinance,2026-08-04,0.12,-16.27,20.59,3.39,16.1,17,16,16,16,-28.4,-99.97,,,,,,,2026-08-06,4.67,8,10,12,20,0,10,1,0,61,B,10
