yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,214189,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,307500.0,307440.05,268771.1666666667,273717.125,304164.615,1.0965723281125286,430123.0,-28.508821895132325,36.80781758957318,29.54,15.33,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,124.86,217.49,14.93,79.0,42.51,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.12,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,455000.0,,,47.97,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,11,2,10,10,0.63,,,17.62,-25.16,,141.26,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-31,4.25,0,0,20,20,0,10,5,5,60,B,1
086520.KQ,086520,에코프로,123963,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,91300.0,87440.0,92140.0,119691.66666666667,118477.5,-22.938954653837225,185000.0,-50.64864864864865,47.30392156861122,15.42,-29.11,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.16,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-08-31,4.25,0,0,0,0,0,0,5,3,8,D,2
247540.KQ,247540,에코프로비엠,118179,중견기업부,양극활물질,KOSDAQ,주권,KRX,120800.0,110865.0,127346.66666666667,165497.5,168728.0,-28.405481010857713,246000.0,-50.89430894308943,55.06756756755454,16.71,-38.8,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,,364.17,14.92,776.0,6.13,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.08,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.79,,,175143.0,,,44.99,,,Naver/FnGuide,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-31,4.25,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,89336,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,460500.0,470800.0,491966.6666666667,582325.0,565067.5,-18.505311312365336,880000.0,-47.67045454545455,41.009463722393846,6.35,-35.5,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,-33.64,3949.62,5.46,,68.75,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,650000.0,,,41.15,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,,,19,18,18,18,,,33.5,6.01,8.98,,1043.93,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-31,4.25,0,0,0,0,0,0,5,3,8,D,4
036930.KQ,036930,주성엔지니어링,82271,우량기업부,"ALG, ALD",KOSDAQ,주권,KRX,177000.0,162705.0,176826.66666666666,145408.33333333334,101684.75,74.0673994871404,250500.0,-29.34131736526946,68.17155756206598,42.17,-29.34,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,7.34,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,17,18,18,,3.49,33.0,6.01,8.98,2589.39,132.28,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-31,4.25,0,0,6,0,4,0,1,5,16,D,5
240810.KQ,240810,원익IPS,54728,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,111500.0,106340.0,123325.0,121668.33333333333,105896.0,5.291984588653018,183300.0,-39.170758319694485,61.15843270867366,14.24,-12.34,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,304.73,46.26,16.2,25.0,5.05,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,38.76,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,2025.0,11011,19,17,18,18,0.08,,34.0,6.38,8.16,-26.47,-20.85,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-31,4.25,4,0,6,20,0,10,3,5,48,C,6
058470.KQ,058470,리노공업,50757,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,66600.0,67520.0,75915.0,92838.33333333333,85324.5,-21.94504509255841,127000.0,-47.55905511811024,36.774193548353885,3.9,-33.13,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,34.19,27.95,31.67,26.0,6.31,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.2,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,115750.0,,,73.8,,,Naver/FnGuide,,KRW,2026-08-24,2025.0,OFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,0.76,17.07,15.56,4.97,12.5,67.1,26.96,전자부품 제조업,전자부품 제조업,2026-08-31,4.25,0,0,20,16,12,10,5,3,66,B,7
039030.KQ,039030,이오테크닉스,49770,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,404000.0,376500.0,395258.3333333333,425141.6666666667,380152.5,6.273140384450977,612000.0,-33.98692810457516,67.6691729323237,36.49,-18.55,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,33.53,50.01,27.8,45.87,6.65,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,31.81,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011,OpenDART,,,19,17,18,18,1.37,24.98,33.0,6.01,8.24,39.0,10.65,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-31,4.25,0,0,6,10,12,10,1,5,44,C,8
222800.KQ,222800,심텍,49100,중견기업부,반도체용 인쇄회로기판,KOSDAQ,주권,KRX,129300.0,110125.0,112138.33333333333,96560.41666666667,78928.0,63.82019055341577,157300.0,-17.80038143674507,58.03357314147708,55.97,14.02,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,,,10.97,25.0,7.31,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.08,,100.0,37.33,OpenDART,-41.52,5.0,True,5.0,OpenDART,,4.0,,,173333.0,,,34.05,,,Naver/FnGuide,,KRW,2026-08-28,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,8,6,7,7,,,15.56,4.97,15.99,60.67,47.08,전자부품 제조업,전자부품 제조업,2026-08-31,4.25,4,0,0,0,0,0,3,5,12,D,9
028300.KQ,028300,HLB,47418,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,35600.0,38315.0,40980.833333333336,47777.083333333336,49067.5,-27.446884393947112,92500.0,-61.513513513513516,29.921259842486705,16.34,-32.19,daily_close,NXT 미확인,2026-09-01 03:13 KST,,,,,20.09,,12.26,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-25,2025.0,CFS,11011.0,OpenDART,,,3,2,2,2,,,,,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-31,4.25,0,0,0,0,0,0,3,1,4,D,10
