yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,227.97999572753906,218.5690010070801,208.45016606648764,203.46766649882,195.8773501586914,16.38915655273031,235.74000549316406,-3.291766176636499,60.23551536801784,13.56,6.16,daily_close,일봉 종가,2026-08-29 17:04 KST,217.89,-4.425825035806089,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.44,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,,,2026-08-27,,,,,0.14,102.92,40.45,10.68,35.48,23,21,22,22,-25.08,129.24,2026-08-28,4.25,0,0,20,20,15,10,3,0,68,B,1
GOOGL,GOOGL,알파벳A,4490.91,340.6499938964844,349.97449798583983,352.1908325195312,347.94283294677734,334.539249420166,1.8266151092613778,402.6199951171875,-15.391684956596851,28.2209782878394,-4.35,-5.11,daily_close,일봉 종가,2026-08-29 17:04 KST,346.2025,1.6299739330695215,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,25.66,6.53,Finnhub,yfinance,,,2026-08-27,,,,,0.06,36.52,19.94,4.5,23.92,7,6,6,6,-14.26,50.56,2026-08-28,4.25,8,0,20,20,15,10,3,5,81,A,2
GOOG,GOOG,알파벳C,4483.96,337.7099914550781,347.6780014038086,350.36866658528646,345.84683252970376,333.48424926757815,1.2671489573438177,399.0400085449219,-15.369390481290433,24.018347266085826,-5.31,-5.05,daily_close,일봉 종가,2026-08-29 17:04 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,24.9,6.53,Finnhub,yfinance,,,2026-08-26,,,,,0.06,36.52,19.92,4.5,23.92,7,6,6,6,-5.45,57.24,2026-08-28,4.25,4,0,20,20,15,10,1,5,75,A,3
AAPL,AAPL,애플,4376.98,314.5799865722656,309.60499877929686,309.5914993286133,292.13333282470705,282.5765493774414,11.325581427522074,340.0799865722656,-7.498236005305579,59.06480920615141,1.84,1.39,daily_close,일봉 종가,2026-08-29 17:04 KST,319.9,1.6911480878686584,28.7,30.44,66.29,34.966743,41.42799,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.87,41.0,1.85,322.28,400.0,215.0,2.45,1.69,Finnhub,yfinance,,,2026-08-27,,,,,1.22,10.32,40.45,10.68,35.48,23,21,22,22,-13.56,287.9,2026-08-28,4.25,0,0,20,10,8,8,3,0,49,C,4
MSFT,MSFT,마이크로소프트,2818.35,505.05999755859375,492.9269958496094,425.58283081054685,415.038498433431,431.1332991027832,17.14706301036289,542.0700073242188,-6.827533208914261,49.238269507447065,8.68,18.19,daily_close,일봉 종가,2026-08-29 17:04 KST,,,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.72,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,12.77,6.42,Finnhub,yfinance,,,2026-08-27,,,,,0.85,23.34,40.45,11.06,35.92,23,21,22,22,-33.7,-26.65,2026-08-28,4.25,0,0,20,16,12,10,5,0,63,B,5
AMZN,AMZN,아마존,2628.93,256.260009765625,266.3760009765625,250.1599998474121,246.59891675313312,238.62880012512207,7.388550598778615,284.0199890136719,-9.773952651871483,23.69244664503516,-5.64,2.5,daily_close,일봉 종가,2026-08-29 17:04 KST,,,242.3,41.19,68.73,21.434431,5.2081866,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.33,4.68,60.0,0.0,327.0,405.0,230.0,27.6,5.13,Finnhub,yfinance,,,2026-08-29,,,,,0.09,57.24,22.53,16.36,41.7,8,7,4,4,-4.86,-68.17,2026-08-28,4.25,4,0,20,20,15,10,1,0,70,A,6
AVGO,AVGO,브로드컴,1957.03,371.5400085449219,391.19500122070315,386.74683430989586,385.12466761271156,369.39715042114256,0.5800960081409098,481.57000732421875,-22.848183463638918,24.11443464194906,-4.56,-22.47,daily_close,일봉 종가,2026-08-29 17:04 KST,,,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.7,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,41.56,0.51,Finnhub,yfinance,,,2026-08-28,,,,,0.72,20.26,34.97,10.68,35.48,23,21,22,22,76.49,88.76,2026-08-28,4.25,0,0,20,16,12,10,1,5,64,B,7
TSLA,TSLA,테슬라,1504.13,354.80999755859375,339.1219970703125,367.4031646728516,380.6511660257975,400.95864974975586,-11.509578910434819,489.8800048828125,-27.572059683581035,62.730091618197726,14.01,-16.26,daily_close,일봉 종가,2026-08-29 17:04 KST,,,-3.0,176.51,43.7,323.19626,15.722664,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.65,39.0,0.85,390.09,600.0,125.0,9.94,-7.04,Finnhub,yfinance,,,2026-08-27,,,,,,-49.94,21.43,11.1,45.9,8,7,4,4,1408.15,41.65,2026-08-28,4.25,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,571.0999755859375,575.4234954833985,590.974994913737,605.2732467651367,622.6868478393554,-8.284561081130565,790.0,-27.708863849881325,40.82435008693781,2.58,-8.33,daily_close,일봉 종가,2026-08-29 17:04 KST,,,-13.4,22.36,79.03,21.05059,5.5603786,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.37,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,-1.41,754.14,1000.0,580.0,32.05,0.38,Finnhub,yfinance,,,2026-08-26,,,,,,25.69,18.81,5.1,33.34,7,6,6,6,11.91,9.03,2026-08-28,4.25,4,0,20,0,15,0,5,5,49,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,503.70001220703125,508.84099731445315,499.430332438151,488.9677495320638,492.4004997253418,2.294780872073095,539.7999877929688,-6.687657725509813,25.89954348710637,-1.53,5.96,daily_close,일봉 종가,2026-08-29 17:04 KST,504.9877,0.25564577362755775,119.6,11.79,67.47,14.743223,0.0009789749,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,3.3,-3.3,Finnhub,yfinance,,,2026-08-29,,,,,0.12,-16.27,20.13,3.16,15.8,18,17,17,17,-26.76,-99.97,2026-08-28,4.25,8,10,12,20,0,10,3,0,63,B,10
