yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,202.77999877929688,191.53370040893554,5.871707352987925,235.74000549316406,-13.981507570136609,48.037780304127125,daily_close,일봉 종가,2026-07-10 14:33 KST,,,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.49,0.61,1.0,,yfinance,,,,Technology,Semiconductors,92.65,-0.31,,,,,3.02,Finnhub,0.14,102.92,63.8,15.22,42.78,18,-52.5,60.86,2026-07-09,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,358.8900146484375,318.3877998352051,12.721032286474548,402.6199951171875,-10.861353385099976,46.74461916387414,daily_close,일봉 종가,2026-07-10 14:33 KST,357.5488,-0.3737118876799352,82.0,23.78,80.67,27.55225,9.141316,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,6.41,0.88,,yfinance,,,,Communication Services,Internet Content & Information,87.14,-1.43,,,,,8.28,Finnhub,0.34,36.52,20.56,6.46,33.02,6,34.01,41.51,2026-07-09,4.25,0,0,20,20,15,10,5,5,75,A,2
GOOG,GOOG,알파벳C,4483.96,356.239990234375,317.7401992034912,12.116751713316344,399.0400085449219,-10.725746139244247,46.356618438402585,daily_close,일봉 종가,2026-07-10 14:33 KST,,,82.0,23.92,61.11,26.951181,8.941894,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,6.41,0.88,,yfinance,,,,Communication Services,Internet Content & Information,87.14,-1.43,,,,,8.28,Finnhub,0.33,36.52,20.56,6.46,33.02,6,31.09,38.42,2026-07-09,4.25,0,0,20,20,15,10,5,5,75,A,3
AAPL,AAPL,애플,4376.98,316.2200012207031,272.15349937438964,16.19178219189206,316.2200012207031,0.0,63.6829881463909,daily_close,일봉 종가,2026-07-10 14:33 KST,,,21.8,30.46,65.83,35.073936,39.856747,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.59,1.08,,yfinance,,,,Technology,Consumer Electronics,69.09,-3.13,,,,,3.74,Finnhub,1.61,10.32,63.8,15.22,42.78,18,-45.03,161.87,2026-07-09,4.25,0,0,20,5,8,8,3,0,44,C,4
MSFT,MSFT,마이크로소프트,2818.35,384.3599853515625,442.9252990722656,-13.22239073798037,542.0700073242188,-29.094032106876544,52.75001608441836,daily_close,일봉 종가,2026-07-10 14:33 KST,,,23.4,33.6,75.78,22.190363,6.6877027,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.95,20.73,3.64,,yfinance,,,,Technology,Software - Infrastructure,92.42,1.51,,,,,5.58,Finnhub,0.95,18.71,63.8,15.22,42.78,18,-65.22,-56.06,2026-07-09,4.25,4,0,20,16,12,8,5,5,70,A,5
AMZN,AMZN,아마존,2628.93,247.0399932861328,233.2446501159668,5.914537873990724,274.989990234375,-10.164005215033573,58.58221277192587,daily_close,일봉 종가,2026-07-10 14:33 KST,246.2,-0.3400231982519146,74.8,41.19,68.02,31.638998,5.8438177,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,Consumer Cyclical,Internet Retail,,,,,,,,,0.42,57.24,76.08,14.24,46.97,7,-58.41,-58.96,2026-07-09,4.25,0,0,20,20,15,10,3,5,73,A,6
AVGO,AVGO,브로드컴,1957.03,401.1099853515625,362.1406002807617,10.760844003845046,481.57000732421875,-16.70785571130601,52.82033335879474,daily_close,일봉 종가,2026-07-10 14:33 KST,,,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.65,41.26,2.6,,yfinance,,,,Technology,Semiconductors,92.86,-0.12,,,,,0.51,Finnhub,0.72,20.26,63.8,15.22,42.78,18,-3.84,31.67,2026-07-09,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,406.54998779296875,418.2721499633789,-2.8025203617875314,489.8800048828125,-17.010291552882972,52.74641864960469,daily_close,일봉 종가,2026-07-10 14:33 KST,,,8.3,176.51,44.91,383.15314,19.422752,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,Consumer Cyclical,Auto Manufacturers,48.33,0.79,,,,,-0.06,Finnhub,46.16,-49.94,76.08,14.24,46.97,7,403.62,36.4,2026-07-09,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,631.47998046875,643.1977487182617,-1.8217987038764296,790.0,-20.065825257120252,64.68695542701276,daily_close,일봉 종가,2026-07-10 14:33 KST,639.844,1.3245106400746716,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.33,7.64,2.1,,yfinance,,,,Communication Services,Internet Content & Information,87.5,-0.17,,,,,8.96,Finnhub,0.36,25.69,20.56,6.46,33.02,6,8.32,-1.18,2026-07-09,4.25,4,0,20,20,15,10,3,5,77,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,495.45001220703125,490.41809997558596,1.0260453746906546,539.7999877929688,-8.2160015911203,53.72655069560543,daily_close,일봉 종가,2026-07-10 14:33 KST,,,119.6,11.79,67.25,14.8820715,0.0009884891,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,Financial Services,Insurance - Diversified,10.0,0.0,,,,,-3.3,Finnhub,0.12,-16.27,20.64,9.35,35.37,16,-27.9,-99.99,2026-07-09,4.25,8,10,12,20,0,10,5,0,65,B,10
