yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,159687,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,295000.0,266532.45,263458.18333333335,272410.38333333336,307023.93,-3.916284310477035,430123.0,-31.41496734654971,67.81910009182252,42.26,6.65,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,124.86,217.49,14.57,95.0,48.42,39.42,53.76,109.82,320.87,,901 -> 2026,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,4.0,,,447745.0,,,51.78,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,0.76,2025.0,11011.0,,18.98,-31.49,10,1,9,9,,155.11,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-08-18,4.72,0,0,20,16,0,10,1,5,52,C,1
086520.KQ,086520,에코프로,118261,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,86000.0,82215.0,99591.66666666667,125713.33333333333,118694.0,-27.544779011575987,185000.0,-53.51351351351351,65.06276150625709,17.01,-27.55,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,,336.78,19.08,192.7,5.36,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-08-18,2025.0,CFS,11011,OpenDART,,2025.0,11011,,,,3,2,2,2,,,,기타 금융업,기타 금융업,2026-08-18,4.72,0,0,0,0,0,0,1,3,4,D,2
247540.KQ,247540,에코프로비엠,106733,중견기업부,양극활물질,KOSDAQ,주권,KRX,108100.0,106730.0,141595.0,172293.33333333334,171083.0,-36.81429481596652,246000.0,-56.05691056910569,55.538694992400956,3.84,-38.82,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,,364.17,14.8,649.0,6.29,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.09,24.85,100.0,97.82,OpenDART,-67.03,1.0,True,3.0,OpenDART,,3.81,,,185125.0,,,71.25,,,Naver/FnGuide,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,,,,2,1,1,1,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-08-18,4.72,0,0,0,0,0,0,3,3,6,D,3
277810.KQ,277810,레인보우로보틱스,91179,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,466500.0,458525.0,534366.6666666666,607658.3333333334,562420.0,-17.05487002595925,880000.0,-46.98863636363637,62.70566727604798,24.4,-26.88,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,-33.64,3949.62,5.2,,71.52,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,4.0,,,915000.0,,,96.14,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,26.0,6.42,8.9,20,17,19,19,,1014.02,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-18,4.72,0,0,0,0,0,0,3,3,6,D,4
036930.KQ,036930,주성엔지니어링,83340,우량기업부,LP CVD,KOSDAQ,주권,KRX,179300.0,146960.0,182576.66666666666,136647.5,95240.75,88.25975225940577,250500.0,-28.423153692614772,67.44989633724296,6.79,0.45,daily_close,NXT 미확인,2026-08-18 21:07 KST,,,-66.22,32.8,7.73,887.5,13.96,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.0,,,190000.0,,,5.97,,,Naver/FnGuide,,KRW,2026-08-18,2025.0,CFS,11011,OpenDART,,2025.0,11011,25.5,6.42,8.9,20,16,19,19,3380.39,117.45,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-18,4.72,0,0,6,0,4,0,1,5,16,D,5
028300.KQ,028300,HLB,57475,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,42850.0,34980.0,43016.666666666664,48790.833333333336,49566.75,-13.550918710627588,92500.0,-53.67567567567567,89.71962616814604,40.26,-9.98,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,,,19.5,,13.03,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-08-10,2025.0,CFS,11011.0,OpenDART,,,,,,,3,2,2,2,,,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-08-18,4.72,0,0,0,0,0,0,1,3,4,D,6
240810.KQ,240810,원익IPS,55170,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,112400.0,101330.0,123808.33333333333,122539.16666666667,103830.0,8.25387652894154,183300.0,-38.6797599563557,62.56860592754253,-2.35,0.45,daily_close,NXT 미확인,2026-08-18 21:07 KST,,,304.73,46.26,15.29,24.0,5.19,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.18,11.6,200.0,97.31,OpenDART,-12.64,2.0,True,4.0,OpenDART,,3.86,,,154714.0,,,37.65,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,0.08,2025.0,11011.0,27.0,6.74,7.42,20,16,19,19,-11.11,-23.0,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-18,4.72,4,0,6,20,0,10,3,5,48,C,7
058470.KQ,058470,리노공업,51671,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,66900.0,67100.0,81055.0,95860.83333333333,84912.5,-21.213013396143086,127000.0,-47.322834645669296,59.06432748535593,-3.18,-30.82,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,34.19,27.95,32.11,29.0,7.56,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.2,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,135000.0,,,101.79,,,Naver/FnGuide,,KRW,2026-08-14,2025.0,OFS,11011.0,OpenDART,0.85,2025.0,11011.0,18.96,4.47,9.7,8,6,7,7,52.95,69.13,17.07,전자부품 제조업,전자부품 제조업,2026-08-18,4.72,0,0,20,16,12,10,3,3,64,B,8
039030.KQ,039030,이오테크닉스,51002,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,411500.0,325675.0,409775.0,425279.1666666667,373062.5,10.303233372424192,612000.0,-32.76143790849673,78.79999999999558,29.81,-10.93,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,33.53,50.01,29.21,61.33,6.42,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,0.0,True,3.0,OpenDART,,4.0,,,532500.0,,,29.4,,,Naver/FnGuide,,KRW,2026-08-11,2025.0,CFS,11011.0,OpenDART,1.83,,,25.5,6.74,7.42,20,16,19,19,140.51,-4.75,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-08-18,4.72,0,0,6,5,12,10,1,5,39,D,9
298380.KQ,298380,에이비엘바이오,44677,기술성장기업부,항체의약품 연구개발,KOSDAQ,주권,KRX,79100.0,76970.0,89915.0,125500.83333333333,146099.5,-45.8588153963566,245500.0,-67.78004073319755,59.99999999998473,12.68,-25.59,nxt_web_latest,NXT 체결가,2026-08-18 20:56 KST,,,,,13.03,-68.0,26.91,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,4.0,,,210000.0,,,165.49,,,Naver/FnGuide,,KRW,2026-08-12,2025.0,CFS,11011.0,OpenDART,,,,,14.39,-9.41,8,2,7,7,,87.0,,기초 의약물질 제조업,기초 의약물질 제조업,2026-08-18,4.72,0,0,0,0,0,0,3,1,4,D,10
