yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,peg,cagr,dividend_year,dividend_report_code,dividend_history_years,dividend_history_source,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,dart_source,dart_year,dart_fs_div,dart_report_code,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,16223423,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,267000.0,179371.0,48.85349359706976,362500.0,-26.344827586206897,34.14179104477434,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,32.61,21.95,46.96,7.0,4.37,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.62,25.1,1668.0,111079.06,OpenDART,3.67,5.0,False,,,,,,,,,0.21,75.51,2025.0,11011.0,5.0,OpenDART,12.5,2.86,7.56,2,,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-07-08,4.57,15,0,12,20,15,10,3,5,80,A,1
000660.KS,000660,SK하이닉스,14795701,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,2025000.0,1057720.0,91.44953295768256,2919000.0,-30.62692702980473,36.88065489013334,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,116.89,8.72,50.36,8.0,10.77,44.15,45.95,46.76,101.16,,27182 -> 58955,971467.0,472063.0,429479.0,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.15,4.9,3000.0,20951.33,OpenDART,18.14,5.0,True,,,,,,,,,0.07,,2025.0,11011.0,5.0,OpenDART,8.0,10.77,44.15,1,,,,,,,반도체 제조업,반도체 제조업,2026-07-08,4.57,15,0,20,20,0,10,5,5,75,A,2
402340.KS,402340,SK스퀘어,1675871,,지주회사,KOSPI,주권,KRX,1193000.0,632840.5,88.5151155780959,1970000.0,-39.441624365482234,35.96605744125294,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,143.06,4.22,45.92,6.0,6.42,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,,,,,,0.04,,,,,,12.67,1.48,11.49,17,-52.64,333.78,OpenDART,2025.0,CFS,11011,기타 금융업,기타 금융업,2026-07-08,4.57,15,0,20,20,0,10,5,5,75,A,3
005935.KS,005935,삼성전자우,1499631,,,KOSPI,주권,KRX,186900.0,125137.5,49.355708720407556,235000.0,-20.46808510638298,37.09677419354516,daily_close,NXT 미확인,2026-07-08 22:15 KST,,,32.61,21.95,46.96,5.0,2.84,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,,,,,,0.15,75.51,,,,,5.5,1.66,9.63,2,,,,,,,,,2026-07-08,4.57,15,3,12,20,15,10,5,5,85,S,4
009150.KS,009150,삼성전기,1104719,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1385000.0,626133.5,121.19883379502934,2270000.0,-38.986784140969164,25.59241706161113,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,3.96,23.43,39.73,133.0,16.97,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113145.0,9133.0,7310.0,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.17,25.2,2350.0,1776.79,OpenDART,2.85,5.0,True,,,,,,,,,33.59,29.21,2025.0,11011.0,5.0,OpenDART,55.71,8.29,9.13,7,138.74,104.7,,,,,전자부품 제조업,전자부품 제조업,2026-07-08,4.57,0,0,6,0,15,2,3,5,31,D,5
005380.KS,005380,현대차,947004,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,438000.0,430862.5,1.6565609678261626,750000.0,-41.6,20.594479830147392,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,-23.26,5.89,24.81,12.0,1.07,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862545.0,114679.0,103648.0,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.28,27.7,10000.0,26182.63,OpenDART,18.92,5.0,True,,,,,,,,,,-9.97,2025.0,11011.0,5.0,OpenDART,9.5,0.98,10.66,2,,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-07-08,4.57,12,8,6,0,0,0,1,5,32,D,6
373220.KS,373220,LG에너지솔루션,738270,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,306500.0,407335.0,-24.754808695545435,514000.0,-40.36964980544747,34.205607476633716,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,,80.86,5.52,-257.0,3.67,-5.19,129.0,-7.6,133.94,,-,236718.0,13461.0,808.0,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,,,,,,,,,,,,432.0,3.01,-2.47,3,,21.93,OpenDART,2025.0,CFS,11011,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-08,4.57,0,0,0,0,0,0,3,5,8,D,7
032830.KS,032830,삼성생명,692000,,"생명보험,부동산 임대",KOSPI,주권,KRX,331500.0,227884.5,45.468428085280046,497000.0,-33.29979879275654,27.137546468400075,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,9.3,9.99,23.21,27.0,0.86,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,,,,,,,,,2.9,10.22,2025.0,11011.0,0.0,OpenDART,15.67,0.89,11.23,3,72.3,-3.37,OpenDART,2025.0,CFS,11011,보험업,보험업,2026-07-08,4.57,0,8,0,0,8,5,3,5,29,D,8
028260.KS,028260,삼성물산,640561,,"도소매, 건설, 남자용 정장 제조업 등",KOSPI,주권,KRX,375500.0,299034.0,25.571005303744727,535000.0,-29.813084112149536,37.88487282463044,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,15.35,12.4,30.6,27.0,1.14,6.02,50.5,-3.23,10.37,9.45,11824 -> 12280 -> 14165,407422.0,32927.0,39067.0,8.08,9.59,30237.41,11182.11,34582.18,290357.96,-255775.78,0.75,18.8,2800.0,4582.52,OpenDART,-9.64,5.0,True,,,,,,,,,1.76,9.45,2025.0,11011.0,5.0,OpenDART,27.0,1.14,6.02,1,,,,,,,기타 전문 도매업,기타 전문 도매업,2026-07-08,4.57,0,8,6,5,8,8,5,5,45,C,9
207940.KS,207940,삼성바이오로직스,630945,,바이오의약품,KOSPI,주권,KRX,1339000.0,1604986.515,-16.572507775867507,1965000.0,-31.857506361323157,44.38860971524184,nxt_web_latest,NXT 체결가,2026-07-08 22:11 KST,,,74.57,82.79,12.68,33.0,8.15,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45570.0,20692.0,17844.0,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,,,,,,0.44,48.49,,,,,30.5,5.21,12.69,2,,,OpenDART,2025.0,CFS,11011,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-08,4.57,0,0,16,20,15,10,5,5,71,A,10
