yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,203.52999877929688,191.92875045776367,6.044559918127642,235.74000549316406,-13.663360466325775,53.74705397545647,-0.81,2.61,daily_close,일봉 종가,2026-07-15 13:31 KST,211.8192,4.0727171770347885,214.5,60.85,70.84,30.30368,24.483273,114.29,6.555,85.2,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.49,0.61,1.0,,yfinance,,,,,,Technology,Semiconductors,92.65,,,-0.31,,,,,3.02,Finnhub,,,,,,,,,0.14,102.92,35.07,9.57,33.3,19,17,18,18,-13.59,155.83,2026-07-14,4.25,0,0,20,20,15,10,5,5,75,A,1
GOOGL,GOOGL,알파벳A,4490.91,352.510009765625,319.94214988708495,10.179296441570454,402.6199951171875,-12.445975351268228,55.74775845361246,-1.99,4.91,daily_close,일봉 종가,2026-07-15 13:31 KST,358.67,1.7474653382100094,82.0,23.78,80.67,27.55225,9.141316,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,6.41,0.88,,yfinance,,,,,,Communication Services,Internet Content & Information,87.14,,,-1.43,,,,,8.28,Finnhub,,,,,,,,,0.34,36.52,22.27,6.38,32.93,6,5,5,5,23.72,43.28,2026-07-14,4.25,0,0,20,20,15,10,3,5,73,A,2
GOOG,GOOG,알파벳C,4483.96,357.3299865722656,319.2900991821289,11.913895071465417,399.0400085449219,-10.452591489447292,58.53436850819278,-0.23,7.38,daily_close,일봉 종가,2026-07-15 13:31 KST,,,82.0,23.92,61.11,26.951181,8.941894,38.88,20.026,21.8,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.25,6.41,0.88,,yfinance,,,,,,Communication Services,Internet Content & Information,87.14,,,-1.43,,,,,8.28,Finnhub,,,,,,,,,0.33,36.52,22.27,6.38,32.93,6,5,5,5,21.02,40.16,2026-07-14,4.25,0,0,20,20,15,10,3,5,73,A,3
AAPL,AAPL,애플,4376.98,317.30999755859375,273.0890995025635,16.192846267602544,317.30999755859375,0.0,66.16098395700897,8.99,20.47,daily_close,일봉 종가,2026-07-15 13:31 KST,315.4967,-0.5714593213404613,21.8,30.46,65.83,35.073936,39.856747,141.47,79.548,16.6,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.59,1.08,,yfinance,,,,,,Technology,Consumer Electronics,69.09,,,-3.13,,,,,3.74,Finnhub,,,,,,,,,1.61,10.32,30.3,9.57,33.3,19,17,18,18,15.76,316.48,2026-07-14,4.25,0,0,20,5,8,8,1,0,42,C,4
MSFT,MSFT,마이크로소프트,2818.35,390.989990234375,441.09154891967773,-11.358539697260483,542.0700073242188,-27.87094195371723,59.84751434313531,0.06,-6.96,daily_close,일봉 종가,2026-07-15 13:31 KST,,,23.4,33.6,75.78,22.190363,6.6877027,34.01,30.271,18.3,17.45,18.71,9.68 -> 11.8 -> 13.64,281724000000.0,128528000000.0,101832000000.0,45.62,36.15,136162000000.0,71611000000.0,30242000000.0,60588000000.0,-30346000000.0,0.93,20.73,3.64,,yfinance,,,,,,Technology,Software - Infrastructure,92.42,,,1.51,,,,,5.58,Finnhub,,,,,,,,,0.95,18.71,35.07,9.74,34.18,19,17,18,18,-36.73,-31.34,2026-07-14,4.25,4,0,20,16,12,8,3,5,68,B,5
AMZN,AMZN,아마존,2628.93,247.30999755859375,233.60169998168945,5.868235367284916,274.989990234375,-10.065818269308453,66.73426851617668,3.67,-0.96,daily_close,일봉 종가,2026-07-15 13:31 KST,248.29,0.3962647895680221,74.8,41.19,68.02,31.638998,5.8438177,24.29,53.3,16.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,,,,,,,,,,,,,,2026-07-15,,,,,0.42,57.24,24.13,17.75,38.64,7,6,4,4,31.12,-67.08,2026-07-14,4.25,0,0,20,20,15,10,1,5,71,A,6
AVGO,AVGO,브로드컴,1957.03,384.04998779296875,362.8957501220703,5.829287795126458,481.57000732421875,-20.250434630077425,51.726272210082435,0.52,-3.62,daily_close,일봉 종가,2026-07-15 13:31 KST,,,85.4,63.62,79.86,61.352158,20.040152,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.68,41.26,2.6,,yfinance,,,,,,Technology,Semiconductors,92.86,,,-0.12,,,,,0.51,Finnhub,,,,2026-07-14,,,,,0.72,20.26,30.3,9.57,33.3,19,17,18,18,102.48,109.41,2026-07-14,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,394.760009765625,417.7443000793457,-5.5019997422717895,489.8800048828125,-19.4169988913799,53.93124938650229,-2.87,1.51,daily_close,일봉 종가,2026-07-15 13:31 KST,,,8.3,176.51,44.91,383.15314,19.422752,4.9,18.738,15.8,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,48.33,,,0.79,,,,,-0.06,Finnhub,,,,,,,,,46.16,-49.94,24.13,10.96,42.77,7,6,4,4,1487.87,77.21,2026-07-14,4.25,0,0,0,0,0,5,5,5,15,D,8
META,META,메타 플랫폼스,1465.23,661.0399780273438,641.7265487670899,3.009604214966577,790.0,-16.324053414260284,69.97573889388451,16.59,-2.34,daily_close,일봉 종가,2026-07-15 13:31 KST,660.5,-0.08168613779686014,62.4,22.36,79.31,22.271437,6.3836145,32.93,35.608,33.1,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.32,7.64,2.1,,yfinance,,,,,,Communication Services,Internet Content & Information,87.5,,,-0.17,,,,,8.96,Finnhub,,,,,,,,,0.36,25.69,23.93,8.94,38.88,6,5,5,5,-6.93,-28.59,2026-07-14,4.25,4,0,20,20,15,10,1,5,75,A,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,496.8500061035156,490.43065002441404,1.3089222867253563,539.7999877929688,-7.9566473991707225,53.73244831860375,1.55,4.57,daily_close,일봉 종가,2026-07-15 13:31 KST,491.6,-1.0566581541757687,119.6,11.79,67.33,14.791867,0.00097137934,10.5,17.669,4.4,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,520.33,570.0,481.0,4.73,-3.3,Finnhub,yfinance,,,2026-07-15,,,,,0.12,-16.27,18.83,3.0,15.92,16,15,15,15,-21.45,-99.97,2026-07-14,4.25,8,10,12,20,0,10,5,0,65,B,10
