yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peg,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
196170.KQ,196170,알테오젠,154596,우량기업부,바이오시밀러 및 바이오베터,KOSDAQ,주권,KRX,283500.0,412042.5,-31.196417845246543,559000.0,-49.28443649373882,30.734966592425707,-23.99,-23.27,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,124.85,217.44,14.37,70.0,38.31,39.42,53.76,109.82,320.87,,1171 -> 2633,2159.0,1069.0,1452.0,49.51,67.25,1241.27,907.09,663.81,2443.0,-1779.19,0.13,14.1,371.0,200.03,OpenDART,,1.0,False,1.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,8,1,7,7,0.56,,19.05,-31.49,,101.1,,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,2026-07-15,4.25,0,0,20,20,0,10,3,3,56,B,1
247540.KQ,247540,에코프로비엠,118276,중견기업부,양극활물질,KOSDAQ,주권,KRX,119300.0,173507.0,-31.24196718288023,246000.0,-51.5040650406504,38.620689655167084,-33.72,-41.8,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,364.17,14.54,343.0,7.27,2.29,142.16,-8.5,,,-,25316.0,1433.0,916.0,5.66,3.62,2147.07,-2234.95,5185.48,28660.15,-23474.67,0.08,24.85,100.0,97.82,OpenDART,-67.03,3.0,True,3.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,2,1,1,1,,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,3,8,D,2
086520.KQ,086520,에코프로,117310,중견기업부,"환경소재,화학필터,이차전지소재등",KOSDAQ,주권,KRX,86000.0,115885.5,-25.788817410288605,185000.0,-53.51351351351351,41.50326797384987,-29.97,-42.36,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,336.78,19.1,175.0,4.87,-8.39,117.92,9.11,,,-,34130.0,2138.0,-1055.0,6.26,-3.09,3390.76,-4729.89,11867.67,52913.98,-41046.31,0.17,-13.56,150.0,203.1,OpenDART,-29.61,2.0,True,4.0,OpenDART,,,,,,,,,,,,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,3,2,2,2,,,,,,,,기타 금융업,기타 금융업,2026-07-15,4.25,0,0,0,0,0,0,5,3,8,D,3
036930.KQ,036930,주성엔지니어링,97377,우량기업부,LP CVD,KOSDAQ,주권,KRX,209500.0,82219.5,154.80573343306637,250500.0,-16.367265469061877,59.342105263154245,-4.77,189.76,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,-66.22,32.8,7.0,,15.0,6.17,50.37,-24.11,-67.8,3.49,705 -> 2235 -> 755,3107.0,313.0,357.0,10.07,11.49,-306.78,,1643.84,2974.36,-1330.52,0.03,6.79,53.0,24.22,OpenDART,-41.52,2.0,True,3.0,OpenDART,,3.5,,,189500.0,,,-9.55,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,15,18,18,,39.0,8.7,8.98,,72.41,3.49,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,6,0,4,0,3,5,18,D,4
277810.KQ,277810,레인보우로보틱스,83419,기술성장기업부,"협동로봇, 천문마운트시스템, 이족보행로봇 등",KOSDAQ,주권,KRX,421500.0,548082.5,-23.09551937892562,880000.0,-52.10227272727273,35.06944444444274,-32.56,-31.57,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-33.64,3949.62,6.94,,60.58,1.07,7.08,76.68,,,110 -> 73,341.0,-25.0,14.0,-7.33,4.11,-92.86,-274.67,101.1,94.75,6.35,,,,,,,,,,,,,,,,,,,,,,,KRW,2026-07-13,2025.0,CFS,11011.0,OpenDART,,,19,15,18,18,,39.0,8.7,8.98,,596.32,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,3,8,D,5
240810.KQ,240810,원익IPS,70042,우량기업부,반도체 제조용 기계,KOSDAQ,주권,KRX,142700.0,98020.75,45.581420260506064,183300.0,-22.14948172394981,45.44764795143675,-11.75,18.03,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,304.73,46.26,17.47,47.0,8.2,9.05,20.06,21.6,596.23,,423 -> 1712,9098.0,738.0,840.0,8.11,9.23,1566.07,1245.35,1072.74,1946.21,-873.47,0.14,11.6,200.0,97.31,OpenDART,-12.64,4.0,True,4.0,OpenDART,,,,,,,,,,,,,,,,,,,2025.0,11011.0,19,14,18,18,0.15,38.92,9.11,8.16,20.76,-9.99,,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,6,20,0,10,5,5,46,C,6
950160.KQ,950160,코오롱티슈진,66191,외국기업(소속부없음),골관절염 치료제,KOSDAQ,주식예탁증권,KRX,77900.0,84503.75,-7.814741949321776,138800.0,-43.87608069164265,31.699346405221505,-31.0,-28.33,daily_close,NXT 미확인,2026-07-15 22:07 KST,,,,,5.01,,51.62,-183.43,561.65,1.96,,,-,52.0,-223.0,-1926.0,-428.85,-3703.85,-0.17,-1.0,0.47,2.51,-2.04,,,,,,,,,,,,,,,,,,,,,,외화 공시 환산 필요,USD,2026-07-13,2025.0,OFS,11011.0,OpenDART,,,8,2,7,7,,,17.37,-9.41,,197.18,,기초 의약물질 제조업,기초 의약물질 제조업,2026-07-15,4.25,0,0,0,0,0,0,3,5,8,D,7
058470.KQ,058470,리노공업,59369,우량기업부,"리노핀, 반도체 소켓 등",KOSDAQ,주권,KRX,76900.0,83438.75,-7.83658671780198,127000.0,-39.44881889763779,36.56716417909174,-18.8,-33.13,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,34.19,27.95,32.66,32.0,8.32,22.45,8.3,33.9,42.51,17.07,1455 -> 1486 -> 1994,3725.0,1770.0,1520.0,47.52,40.81,1794.69,1192.33,852.03,607.09,244.94,1.04,39.96,800.0,607.16,OpenDART,-35.63,5.0,True,5.0,OpenDART,,4.0,,,136000.0,,,76.85,,,Naver/FnGuide,,KRW,2026-07-15,2025.0,OFS,11011,OpenDART,2025.0,11011,10,7,9,9,0.94,22.0,4.23,8.6,45.45,96.69,17.07,전자부품 제조업,전자부품 제조업,2026-07-15,4.25,0,0,20,16,12,10,5,5,68,B,8
319660.KQ,319660,피에스케이,59236,우량기업부,"드라이스트립, 드라이클리닝",KOSDAQ,주권,KRX,198900.0,73924.5,169.05829596412556,211500.0,-5.957446808510639,59.18699186991421,22.48,122.98,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,-0.73,10.42,21.95,39.0,10.4,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,0.34,25.1,680.0,196.97,OpenDART,19.35,5.0,True,5.0,OpenDART,,4.0,,,179143.0,,,-9.93,,,Naver/FnGuide,,KRW,2026-07-14,2025.0,CFS,11011.0,OpenDART,2025.0,11011.0,19,14,18,18,,40.42,8.7,8.16,-3.51,19.54,22.31,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,16,0,12,0,3,0,31,D,9
039030.KQ,039030,이오테크닉스,47430,우량기업부,레이저 마커 및 레이저 응용기기,KOSDAQ,주권,KRX,378500.0,363725.0,4.062134854629184,612000.0,-38.15359477124183,34.717607973420314,-25.49,-19.89,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,33.53,50.01,27.12,44.0,7.58,8.9,13.06,18.7,158.97,24.98,2973 -> 3478 -> 4644,3809.0,808.0,576.0,21.21,15.12,1002.88,962.08,2363.05,898.52,1464.53,,,,,,-25.46,3.0,True,3.0,OpenDART,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,19,14,18,18,1.31,38.92,9.11,8.24,13.05,-16.79,24.98,특수 목적용 기계 제조업,특수 목적용 기계 제조업,2026-07-15,4.25,0,0,6,10,12,10,3,5,46,C,10
028300.KQ,028300,HLB,46219,중견기업부,"의료기기, 의약외품 등",KOSDAQ,주권,KRX,34700.0,50111.25,-30.754072189378633,92500.0,-62.486486486486484,36.734693877541474,-31.69,-45.53,nxt_web_latest,NXT 체결가,2026-07-15 21:57 KST,,,,,19.71,,16.07,-44.32,88.14,23.64,,,-,842.0,-1042.0,-2354.0,-123.75,-279.57,-925.88,-1101.21,409.83,4357.64,-3947.81,,,,,,,,,,,,,,,,,,,,,,,KRW,,2025.0,CFS,11011.0,OpenDART,,,4,2,3,3,,,6.08,8.69,,164.31,,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,2026-07-15,4.25,0,0,0,0,0,0,5,1,6,D,11
