yf_symbol,symbol,name,market_cap,listing_department,products,krx_market,security_group,krx_source,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,dividend_year,dividend_report_code,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_per_gap,peer_pbr_gap,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
005930.KS,005930,삼성전자,14557233,,"통신 및 방송 장비 제조(무선) 제품, 반도체 제조(메모리) 제품, 전자부품 제조(디스플레이) 제품, 영상 및 음향기기 제조(영상기기) 제품 등",KOSPI,주권,KRX,248500.0,261500.0,270816.6666666667,262855.0,216690.5,14.679692926085822,362500.0,-31.448275862068964,44.2953020134145,-9.47,-31.45,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,32.61,21.95,46.72,5.0,3.02,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,853151.48,331619.99,578563.78,1306217.73,-727653.95,0.67,25.1,1668.0,111079.06,OpenDART,4.92,5.0,False,5.0,OpenDART,,4.04,,,491875.0,,,97.94,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,0.15,2025.0,11011.0,2,1,1,1,75.51,,,,,,통신 및 방송 장비 제조업,통신 및 방송 장비 제조업,2026-09-14,4.25,15,0,12,20,15,10,5,5,82,A,1
000660.KS,000660,SK하이닉스,12396455,,"반도체,컴퓨터,통신기기 제조,도매",KOSPI,주권,KRX,1683000.0,1700300.0,1896050.0,1732100.0,1342380.0,25.37433513610155,2919000.0,-42.343268242548824,50.35765379112918,2.31,-37.32,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,116.89,8.72,50.56,5.0,4.57,44.15,45.95,46.76,101.16,,27182 -> 58955,971466.75,472063.19,429479.02,48.59,44.21,533731.26,247937.83,149237.66,554409.08,-405171.42,0.18,4.9,3000.0,20951.33,OpenDART,35.72,5.0,True,5.0,OpenDART,,4.0,,,3280417.0,,,94.91,,,Naver/FnGuide,,KRW,2026-09-12,2025.0,CFS,11011.0,OpenDART,0.04,2025.0,11011.0,1,0,0,0,,,,,,,반도체 제조업,반도체 제조업,2026-09-14,4.25,15,0,20,20,0,10,5,5,75,A,2
005935.KS,005935,삼성전자우,1471548,,,KOSPI,주권,KRX,183200.0,191745.0,190281.66666666666,180070.83333333334,150783.5,21.49870509704311,235000.0,-22.04255319148936,41.37404580151787,-6.34,-19.82,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,32.61,21.95,46.73,4.0,2.32,10.85,29.94,10.88,33.23,75.51,2131 -> 4950 -> 6564,3336059.0,436010.0,452068.0,13.07,13.55,,,,,,,,,,,,,,,,,4.05,,,487045.0,,,165.85,,,Naver/FnGuide,,,2026-09-08,,,,,0.12,,,2,1,1,1,75.51,,,,,,,,2026-09-14,4.25,15,3,12,20,15,10,5,5,85,S,3
402340.KS,402340,SK스퀘어,1319239,,지주회사,KOSPI,주권,KRX,1000000.0,1070050.0,1223516.6666666667,1079841.6666666667,826112.5,21.048888619891358,1970000.0,-49.23857868020304,43.64406779660887,-13.34,-41.18,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,143.06,4.22,46.33,3.0,2.7,37.82,9.01,77.76,124.39,,27346 -> 66468,104556.0,87974.0,88187.0,84.14,84.34,3872.02,3485.68,13107.18,25213.83,-12106.65,,,,,,,,,,,,4.0,,,1938333.0,,,93.83,,,Naver/FnGuide,,KRW,2026-09-08,2025.0,CFS,11011.0,OpenDART,0.02,,,17,16,16,15,,9.0,0.94,8.91,-66.67,187.23,기타 금융업,기타 금융업,2026-09-14,4.25,15,3,20,20,0,10,5,3,76,A,4
009150.KS,009150,삼성전기,998654,,"수동소자 (MLCC, Inductor, Chip Resistor 등), 모듈(카메라모듈, 통신모듈), 반도체패키지 기판",KOSPI,주권,KRX,1322000.0,1387100.0,1485850.0,1267850.0,884742.5,49.422006968129146,2270000.0,-41.76211453744493,46.52777777777664,-15.15,-39.91,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,3.96,23.43,37.93,72.0,10.56,7.7,48.98,9.91,24.26,29.21,5450 -> 8752 -> 9099,113144.59,9133.31,7309.9,8.07,6.46,14900.91,2437.67,27012.06,47985.51,-20973.45,0.18,25.2,2350.0,1776.79,OpenDART,3.82,5.0,True,5.0,OpenDART,,4.0,,,2325500.0,,,75.91,,,Naver/FnGuide,,KRW,2026-09-12,2025.0,CFS,11011.0,OpenDART,18.18,2025.0,11011.0,5,4,4,4,29.21,41.5,5.65,6.37,73.49,86.9,전자부품 제조업,전자부품 제조업,2026-09-14,4.25,0,0,6,0,15,2,5,5,33,D,5
373220.KS,373220,LG에너지솔루션,822510,,"2차전지 (소형,ESS,자동차전지)",KOSPI,주권,KRX,351000.0,359375.0,348425.0,385645.8333333333,390945.0,-10.217549783217589,514000.0,-31.712062256809336,50.51546391752092,-5.01,-12.25,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,,80.86,5.56,-292.0,3.75,-5.19,129.0,-7.6,133.94,,-,236717.59,13461.2,808.03,5.69,0.34,44322.77,-65663.98,37793.07,378262.77,-340469.7,,,,,,,,,,,,4.0,,,515778.0,,,46.95,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011,OpenDART,,,,3,2,2,2,,,,,,,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,2026-09-14,4.25,0,0,0,0,0,0,5,5,10,D,6
005380.KS,005380,현대차,760675,,"자동차(승용차,버스,트럭,특장차),자동차부품,자동차전착도료 제조,차량정비사업",KOSPI,주권,KRX,367500.0,398800.0,428125.0,503341.6666666667,467890.0,-21.45589775374554,750000.0,-51.0,23.90243902438698,-18.87,-38.85,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,-23.26,5.89,24.37,11.0,0.86,8.41,188.95,6.29,-19.46,-9.97,43589 -> 46042 -> 35331,1862544.72,114678.51,103647.75,6.16,5.56,-59912.7,-170611.26,183605.66,2411966.12,-2228360.46,2.72,27.7,10000.0,26182.63,OpenDART,12.62,5.0,True,5.0,OpenDART,,4.0,,,704400.0,,,91.67,,,Naver/FnGuide,,KRW,2026-09-12,2025.0,CFS,11011.0,OpenDART,,2025.0,11011.0,2,1,1,1,-9.97,,,,,,자동차용 엔진 및 자동차 제조업,자동차용 엔진 및 자동차 제조업,2026-09-14,4.25,12,8,6,0,0,0,1,3,30,D,7
207940.KS,207940,삼성바이오로직스,657331,,바이오의약품,KOSPI,주권,KRX,1402000.0,1504900.0,1459433.3333333333,1462741.6666666667,1566515.0,-10.501974127282535,1965000.0,-28.65139949109415,23.167155425218994,-9.43,-1.96,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,74.57,82.79,13.1,38.0,8.41,19.44,48.44,30.31,56.59,48.49,12051 -> 15221 -> 26572,45569.72,20692.21,17843.52,45.41,39.16,22478.07,7727.33,1488.51,36096.31,-34607.8,,,,,,,,,,,,4.0,,,1997143.0,,,42.45,,,Naver/FnGuide,,KRW,2026-09-12,2025.0,CFS,11011.0,OpenDART,0.51,,,2,1,1,1,48.49,,,,,,기초 의약물질 제조업,기초 의약물질 제조업,2026-09-14,4.25,0,0,16,20,15,10,1,5,67,B,8
105560.KS,105560,KB금융,644112,,-,KOSPI,주권,KRX,181200.0,170630.0,168956.66666666666,162398.33333333334,152599.5,18.742197713622915,186200.0,-2.685284640171858,67.28971962614622,7.54,11.1,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,18.98,6.51,79.17,9.0,1.0,9.98,1211.73,-4.52,5.87,15.41,11349 -> 12705 -> 15116,812307.0,85177.11,58407.15,10.49,7.19,42263.78,34879.06,290205.64,7370930.44,-7080724.8,2.41,27.0,4367.0,15777.74,OpenDART,14.1,1.0,False,4.0,OpenDART,,4.0,,,224889.0,,,24.11,,,Naver/FnGuide,,KRW,2026-09-15,2025.0,CFS,11011,OpenDART,0.47,2025.0,11011,17,16,16,15,15.41,8.5,0.94,8.91,5.88,6.38,기타 금융업,기타 금융업,2026-09-14,4.25,12,8,6,20,12,8,1,0,67,B,9
032830.KS,032830,삼성생명,596000,,"생명보험,부동산 임대",KOSPI,주권,KRX,295500.0,302750.0,328208.3333333333,314729.1666666667,261398.0,13.046006472888086,497000.0,-40.543259557344065,54.75113122171252,-1.83,-36.99,daily_close,NXT 미확인,2026-09-15 02:09 KST,,,9.3,9.99,23.21,19.0,0.68,4.96,440.89,9.92,3.23,10.22,9477 -> 10534 -> 11514,371383.0,25805.0,24515.0,6.95,6.6,52562.61,48930.1,45378.33,2858503.83,-2813125.5,,41.3,,9517.46,OpenDART,,0.0,False,0.0,OpenDART,,3.85,,,402538.0,,,36.22,,,Naver/FnGuide,,KRW,2026-09-01,2025.0,CFS,11011.0,OpenDART,2.04,2025.0,11011.0,4,3,3,3,10.22,8.0,0.84,10.97,137.5,-19.05,보험업,보험업,2026-09-14,4.25,4,10,0,0,8,5,5,5,37,D,10
