yf_symbol,symbol,name,market_cap,price,ma20,ma60,ma120,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,sector,industry,analyst_buy_ratio,analyst_opinion_score,analyst_opinion_count,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,consensus_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_count,peer_pbr_count,peer_roe_count,peer_per_gap,peer_pbr_gap,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
NVDA,NVDA,엔비디아,5103.12,225.72999572753906,220.49100036621093,209.9644994099935,205.44599990844728,196.90130012512208,14.641191086141953,235.74000549316406,-4.246207488068999,54.154522488207824,3.76,10.18,daily_close,일봉 종가,2026-09-09 15:23 KST,225.31,-0.18606110640519571,127.8,60.85,71.5,27.876263,27.358118,117.21,16.971,105.9,60.08,102.92,1.19 -> 2.94 -> 4.9,215938000000.0,130387000000.0,120067000000.0,60.38,55.6,102718000000.0,96676000000.0,10605000000.0,11040000000.0,-435000000.0,0.44,3.54,1.0,,yfinance,35.72,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,94.12,4.72,58.0,1.37,323.42,515.0,180.0,43.28,3.44,Finnhub,yfinance,,,2026-09-01,,,,,0.22,102.92,36.29,11.06,34.25,23,21,22,22,-23.18,147.36,2026-09-08,4.25,0,0,20,20,15,10,5,0,70,A,1
GOOGL,GOOGL,알파벳A,4490.91,338.3599853515625,342.65299835205076,349.7623321533203,349.5984992980957,336.2113993835449,0.6390580366867664,402.6199951171875,-15.960461612673093,43.97438689660847,-5.36,-5.43,daily_close,일봉 종가,2026-09-09 15:23 KST,,,294.0,23.78,81.07,17.095688,6.7749925,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.64,54.0,1.61,428.07,515.0,340.0,26.51,6.53,Finnhub,yfinance,,,2026-09-01,,,,,0.06,36.52,20.56,4.72,23.92,7,6,6,6,-16.85,43.54,2026-09-08,4.25,8,0,20,20,15,10,5,5,83,A,2
GOOG,GOOG,알파벳C,4483.96,335.3800048828125,339.79200134277346,347.8318328857422,347.3660825093587,335.03589935302733,0.10270706227292485,399.0400085449219,-15.953288467049253,43.310665428523585,-5.75,-5.94,daily_close,일봉 종가,2026-09-09 15:23 KST,,,294.0,23.92,60.32,18.83525,7.075802,48.68,18.859,24.2,14.81,36.52,5.8 -> 8.04 -> 10.81,402836000000.0,129039000000.0,132170000000.0,32.03,32.81,164713000000.0,73266000000.0,30708000000.0,59291000000.0,-28583000000.0,0.26,4.26,0.88,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,88.57,4.6,14.0,1.61,421.79,475.0,340.0,25.76,6.53,Finnhub,yfinance,,,2026-09-05,,,,,0.06,36.52,20.54,4.72,23.92,7,6,6,6,-8.3,49.91,2026-09-08,4.25,4,0,20,20,15,10,5,5,79,A,3
AAPL,AAPL,애플,4376.98,316.2200012207031,313.53799896240236,311.90133310953775,295.4824165344238,284.11394943237303,11.300413743314712,340.0799865722656,-7.015992205849006,55.94620929630409,2.58,6.96,daily_close,일봉 종가,2026-09-09 15:23 KST,,,28.7,30.44,66.4,36.29439,43.05027,148.75,78.445,16.4,7.98,10.32,6.13 -> 6.08 -> 7.46,416161000000.0,133050000000.0,112010000000.0,31.97,26.92,111482000000.0,98767000000.0,35934000000.0,98657000000.0,-62723000000.0,0.34,12.04,1.08,,yfinance,4.22,10.0,False,10.0,yfinance dividend history,Technology,Consumer Electronics,68.52,3.82,39.0,1.85,324.45,400.0,215.0,2.6,1.69,Finnhub,yfinance,,,2026-09-01,,,,,1.26,10.32,32.79,11.06,34.25,23,21,22,22,10.69,289.24,2026-09-08,4.25,0,0,20,10,8,8,3,0,49,C,4
MSFT,MSFT,마이크로소프트,2818.35,493.95001220703125,495.1040008544922,435.07949879964195,420.1214988708496,431.0472993469238,14.592995468342062,542.0700073242188,-8.877081274929557,57.29858041730757,-2.39,26.54,daily_close,일봉 종가,2026-09-09 15:23 KST,493.25,-0.14171721626314102,31.7,32.3,75.91,26.81687,8.112818,34.04,29.118,17.7,20.78,23.34,11.8 -> 13.64 -> 17.95,331839000000.0,155237000000.0,133749000000.0,46.78,40.31,182935000000.0,66987000000.0,20935000000.0,56826000000.0,-35891000000.0,0.74,19.83,3.64,,yfinance,10.21,10.0,False,10.0,yfinance dividend history,Technology,Software - Infrastructure,92.75,4.64,53.0,0.1,569.56,870.0,400.0,15.31,6.42,Finnhub,yfinance,,,2026-09-01,,,,,0.85,23.34,36.29,11.36,34.82,23,21,22,22,-26.1,-28.58,2026-09-08,4.25,0,0,20,16,12,10,3,0,61,B,5
AMZN,AMZN,아마존,2628.93,256.9700012207031,261.14099884033203,251.58466618855795,248.95808321634928,239.29494995117187,7.386303502492571,284.0199890136719,-9.523973255159392,47.54161986463719,-7.59,6.4,daily_close,일봉 종가,2026-09-09 15:23 KST,256.65,-0.12452862948321705,242.3,41.19,68.74,20.496784,4.9843616,30.56,45.617,19.6,16.59,57.24,2.9 -> 5.53 -> 7.17,716924000000.0,79975000000.0,77670000000.0,11.16,10.83,139514000000.0,7695000000.0,86810000000.0,152987000000.0,-66177000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Internet Retail,93.24,4.69,60.0,-0.09,328.0,405.0,230.0,27.64,5.13,Finnhub,yfinance,,,2026-09-03,,,,,0.08,57.24,22.53,16.36,41.7,8,7,4,4,-9.02,-69.53,2026-09-08,4.25,4,0,20,20,15,10,5,0,74,A,6
AVGO,AVGO,브로드컴,1957.03,368.55999755859375,375.6314987182617,384.0311665852865,386.7881673177083,369.97395034790037,-0.38217630943395536,481.57000732421875,-23.466995046795056,42.953927392477894,-12.75,-4.41,daily_close,일봉 종가,2026-09-09 15:23 KST,366.5,-0.5589314011937097,85.4,63.62,80.15,61.71761,20.159523,37.28,74.018,47.9,73.88,20.26,3.3 -> 1.23 -> 4.77,63887000000.0,26075000000.0,23126000000.0,40.81,36.2,27537000000.0,26914000000.0,16178000000.0,65136000000.0,-48958000000.0,0.71,41.26,2.6,,yfinance,12.71,10.0,False,10.0,yfinance dividend history,Technology,Semiconductors,91.07,4.67,46.0,-0.16,525.97,675.0,215.88,42.71,0.51,Finnhub,yfinance,,,2026-09-02,,,,,0.72,20.26,32.79,11.06,34.25,23,21,22,22,88.22,82.27,2026-09-08,4.25,0,0,20,16,12,10,5,5,68,B,7
TSLA,TSLA,테슬라,1504.13,368.1600036621094,350.30349884033205,363.69949798583986,378.8636660257975,399.3929997253418,-7.820116047279496,489.8800048828125,-24.84690128347259,59.75557006772156,11.27,-7.76,daily_close,일봉 종가,2026-09-09 15:23 KST,,,-3.0,176.51,43.7,323.19626,15.722664,4.67,18.373,25.5,-37.51,-49.94,4.31 -> 2.04 -> 1.08,94827000000.0,4849000000.0,3794000000.0,5.11,4.0,14747000000.0,6220000000.0,16513000000.0,14719000000.0,1794000000.0,,0.0,0.0,,yfinance,,,,,,Consumer Cyclical,Auto Manufacturers,49.18,3.65,39.0,0.85,390.09,600.0,125.0,5.96,-7.04,Finnhub,yfinance,,,2026-09-01,,,,,,-49.94,21.21,10.99,45.9,8,7,4,4,1423.79,43.06,2026-09-08,4.25,0,0,0,0,0,0,3,5,8,D,8
META,META,메타 플랫폼스,1465.23,613.47998046875,577.8089965820312,592.0019948323568,603.4453303019205,622.3690475463867,-1.4282630398604732,790.0,-22.34430626977848,85.53389050497643,3.12,7.93,daily_close,일봉 종가,2026-09-09 15:23 KST,,,-13.4,22.36,79.04,22.988073,6.0160947,29.85,42.997,28.0,20.03,25.69,14.87 -> 23.86 -> 23.49,200966000000.0,83276000000.0,60458000000.0,41.44,30.08,115800000000.0,46109000000.0,35873000000.0,83897000000.0,-48024000000.0,0.34,7.91,2.1,,yfinance,,2.0,False,2.0,yfinance dividend history,Communication Services,Internet Content & Information,87.32,4.65,57.0,0.0,754.77,1000.0,580.0,23.03,0.38,Finnhub,yfinance,,,2026-09-05,,,,,,25.69,18.81,5.1,33.34,7,6,6,6,22.21,17.96,2026-09-08,4.25,4,0,20,0,15,0,1,5,45,C,9
BRK-B,BRK-B,버크셔해서웨이,1055.69,505.8299865722656,504.23349914550784,501.4618316650391,489.6216657002767,492.4191995239258,2.7234492605701566,539.7999877929688,-6.293071876417261,54.862748478601105,-4.46,4.13,daily_close,일봉 종가,2026-09-09 15:23 KST,,,107.8,11.79,66.95,12.624687,0.000967474,12.12,17.142,10.0,,-16.27,44.27 -> 41.27 -> 31.04,410522000000.0,,66968000000.0,,16.31,45969000000.0,25042000000.0,51877000000.0,129081000000.0,-77204000000.0,,0.0,0.0,,yfinance,,,,,,Financial Services,Insurance - Diversified,10.0,4.0,3.0,0.0,547.67,604.0,510.0,8.27,1.4,Finnhub,yfinance,,,2026-09-03,,,,,0.12,-16.27,20.13,3.16,16.9,18,17,17,17,-37.28,-99.97,2026-09-08,4.25,8,10,12,20,0,10,5,0,65,B,10
